scene_token,attack,k,xgb_prob,top1_gene,top1_category,top_k_genes,ade_attacked,ade_mitigated,is_fail,is_flip,improvement_m
7f572219da4e5fd4,Rain,1,0.4895983040332794,lbp_entropy,edge_freq,lbp_entropy,8.909494400024414,4.125338077545166,1,0,4.784156322479248
472899393e8f55e1,Rain,1,0.29385706782341003,shadow_ratio,luma,shadow_ratio,0.0,0.0,0,0,0.0
73bc1971e0735c22,Rain,1,0.29004377126693726,lbp_entropy,edge_freq,lbp_entropy,1.6535098552703857,0.8527930378913879,0,0,0.8007168173789978
676880c7e31252c0,Rain,1,0.29700347781181335,lbp_entropy,edge_freq,lbp_entropy,1.356801152229309,0.9025331735610962,0,0,0.4542679786682129
0616f9723c60524d,Rain,1,0.21336910128593445,shadow_ratio,luma,shadow_ratio,0.8204939365386963,0.7851777076721191,0,0,0.03531622886657715
c672f1584cb75697,Rain,1,0.36759617924690247,shadow_ratio,luma,shadow_ratio,8.185181617736816,8.185181617736816,1,0,0.0
efe0cf18491855e6,Rain,1,0.29571571946144104,road_luma_std,luma,road_luma_std,1.8710306882858276,1.8710306882858276,0,0,0.0
616ead76f75f5b62,Rain,1,0.09963460266590118,lane_line_count,other,lane_line_count,0.4442804753780365,0.4442804753780365,0,0,0.0
ccd1908db4765e03,Rain,1,0.3102906048297882,road_luma_std,luma,road_luma_std,1.0315443277359009,1.0315443277359009,0,0,0.0
03269d4ad9e45809,Rain,1,0.2262996882200241,shadow_ratio,luma,shadow_ratio,2.3588056564331055,2.3588056564331055,1,0,0.0
e309a82b568d5669,Rain,1,0.13524867594242096,shadow_ratio,luma,shadow_ratio,4.392796993255615,3.0975351333618164,1,0,1.2952618598937988
d3d7a91aff375fc5,Rain,1,0.1941489726305008,shadow_ratio,luma,shadow_ratio,8.703227996826172,8.703227996826172,1,0,0.0
6ef9b5c13bb952cd,Rain,1,0.1438487470149994,shadow_ratio,luma,shadow_ratio,5.424365043640137,5.424365043640137,1,0,0.0
33fcb42a03535525,Rain,1,0.3928753733634949,shadow_ratio,luma,shadow_ratio,1.0202723741531372,1.0202723741531372,0,0,0.0
dd2b5010e1d25d72,Rain,1,0.1473418027162552,sat_std,color,sat_std,2.4071145057678223,2.4071145057678223,1,0,0.0
7f86145a2a8a514b,Rain,1,0.3343336582183838,shadow_ratio,luma,shadow_ratio,1.107774019241333,1.107774019241333,0,0,0.0
e5d91842b228552a,Rain,1,0.18831853568553925,hue_mean,color,hue_mean,0.0,0.41902193427085876,0,0,-0.41902193427085876
55dab3d9ebd95046,Rain,1,0.3011370003223419,shadow_ratio,luma,shadow_ratio,0.0,0.0,0,0,0.0
9c42f5a9d56c5ebf,Rain,1,0.15399965643882751,shadow_ratio,luma,shadow_ratio,1.2171093225479126,0.6619426608085632,0,0,0.5551666617393494
400a99ae89275e4d,Rain,1,0.32595840096473694,lbp_entropy,edge_freq,lbp_entropy,8.591168403625488,0.3880402445793152,1,1,8.203128159046173
